Id,Brand,Model,Rank,Benchmark
1846,AMD,Athlon II M320,1085,34.7
1847,AMD,V140,1084,34.7
1848,Intel,Celeron 847,1083,34.8
1849,Intel,Core2 Duo T7250,1082,34.9
1850,Intel,Pentium J4205,1081,34.9
1851,Intel,Core2 Duo E4400,1080,34.9
1852,AMD,A8-7100 APU (2014 M.Ka),1087,34.6
1853,Intel,Core2 Duo T5800,1079,35
1854,Intel,Core2 Duo T7100,1097,34.2
1855,Intel,Core2 Duo L7500,1099,34.1
1856,Intel,Core2 T7200,1115,33.5
1857,AMD,A9-9420 APU (2016 M.SR),1114,33.5
1858,Intel,Pentium Dual E2160,1113,33.6
1859,Intel,Core2 Duo T5750,1112,33.6
1860,Intel,Core2 Duo U9400,1111,33.6
1861,AMD,Athlon 64 3000+,1110,33.7
1862,AMD,Athlon 64 3500+,1109,33.7
1863,Intel,Pentium Dual T3400,1098,34.2
1864,Intel,Core2 Duo U9600,1108,33.7
1865,Intel,Pentium Dual E2180,1106,33.8
1866,AMD,Turion 64 X2 Mobile Technology TL-60,1105,33.8
1867,AMD,Turion X2 Ultra Mobile ZM-82,1104,33.9
1868,AMD,A10-7300 APU (2014 M.Ka),1103,33.9
1869,Intel,Core2 Duo T5850,1102,33.9
1870,AMD,A4-3305M APU,1101,34
1871,Intel,Atom Z3775,1100,34.1
1872,Intel,Core2 4300,1107,33.8
1873,AMD,A8-4555M APU,1038,36.7
1874,Intel,Pentium T4200,1078,35.1
1875,Intel,Core2 6300,1076,35.2
1876,Intel,Pentium P6100,1055,35.9
1877,AMD,A4-7210 APU (2015 M.Ca),1054,35.9
1878,Intel,Core2 Duo T7300,1053,36
1879,Intel,Core2 Duo T6400,1052,36.1
1880,Intel,Core2 Duo T6500,1051,36.1
1881,Intel,Celeron E3400,1050,36.2
1882,AMD,Sempron 140,1049,36.2
1883,AMD,Athlon II P320,1056,35.9
1884,Intel,Celeron Dual Core T3300,1048,36.2
1885,Intel,Core2 Duo T7500,1046,36.3
1886,Intel,Core2 Duo T6670,1045,36.3
1887,Intel,Core2 6320,1044,36.4
1888,AMD,FX-7500 APU (2014 M.Ka),1043,36.4
1889,AMD,Athlon 64 X2 Dual Core 4400+,1042,36.5
1890,AMD,Athlon Dual Core 4450e,1041,36.6
1891,Intel,Core2 Duo P7350,1040,36.6
1892,AMD,Athlon Dual Core 4450B,1047,36.2
1893,Intel,Pentium T4300,1077,35.1
1894,AMD,A6-7310 APU (2015 M.Ca),1057,35.8
1895,Intel,Core2 Duo T5870,1059,35.8
1896,Intel,Core2 Duo T5670,1075,35.3
1897,Intel,Celeron Dual Core T3100,1074,35.3
1898,Intel,Core2 Duo T5900,1073,35.3
1899,AMD,A4-3300M APU,1072,35.4
1900,Intel,Pentium T4500,1071,35.4
1901,Intel,Pentium T4400,1070,35.4
